Index,GBP.USD
2019-07-11,1.253186
2019-07-12,1.254981
2019-07-13,1.25768
2019-07-14,1.25761
2019-07-15,1.254189
2019-07-16,1.245092
2019-07-17,1.24196
2019-07-18,1.248131
2019-07-19,1.2521
2019-07-20,1.250345
2019-07-21,1.250378
2019-07-22,1.248492
2019-07-23,1.24483
2019-07-24,1.246958
2019-07-25,1.247276
2019-07-26,1.241705
2019-07-27,1.23835
2019-07-28,1.238306
2019-07-29,1.22932
2019-07-30,1.216566
2019-07-31,1.217352
2019-08-01,1.212508
2019-08-02,1.213148
2019-08-03,1.21624
2019-08-04,1.216113
2019-08-05,1.21483
2019-08-06,1.216646
2019-08-07,1.215437
2019-08-08,1.214906
2019-08-09,1.208927
2019-08-10,1.20273
2019-08-11,1.202812
2019-08-12,1.206524
2019-08-13,1.20669
2019-08-14,1.206217
2019-08-15,1.209044
2019-08-16,1.213231
2019-08-17,1.21457
2019-08-18,1.214696
2019-08-19,1.21361
2019-08-20,1.213128
2019-08-21,1.214074
2019-08-22,1.218832
2019-08-23,1.224659
2019-08-24,1.22889
2019-08-25,1.22867
2019-08-26,1.224228
2019-08-27,1.225942
2019-08-28,1.223654
2019-08-29,1.219728
2019-08-30,1.217524
2019-08-31,1.21636
2019-09-01,1.216265
2019-09-02,1.209922
2019-09-03,1.2049
2019-09-04,1.217278
2019-09-05,1.229434
2019-09-06,1.230805
2019-09-07,1.22906
2019-09-08,1.228942
2019-09-09,1.232352
2019-09-10,1.234688
2019-09-11,1.23423
2019-09-12,1.233266
2019-09-13,1.242864
2019-09-14,1.25024
2019-09-15,1.25017
2019-09-16,1.24458
2019-09-17,1.244872
2019-09-18,1.247735
2019-09-19,1.249008
2019-09-20,1.25109
2019-09-21,1.24731
2019-09-22,1.247288
2019-09-23,1.2446
2019-09-24,1.246169
2019-09-25,1.240866
2019-09-26,1.234564
2019-09-27,1.230764
2019-09-28,1.22895
2019-09-29,1.22899
2019-09-30,1.229857
2019-10-01,1.228068
2019-10-02,1.228562
2019-10-03,1.232966
2019-10-04,1.233166
2019-10-05,1.23345
2019-10-06,1.233364
2019-10-07,1.231256
2019-10-08,1.224538
2019-10-09,1.221716
2019-10-10,1.230284
2019-10-11,1.256568
2019-10-12,1.26487
2019-10-13,1.264688
2019-10-14,1.25846
2019-10-15,1.268642
2019-10-16,1.27847
2019-10-17,1.284107
2019-10-18,1.29006
2019-10-19,1.2979
2019-10-20,1.297023
2019-10-21,1.295654
2019-10-22,1.293802
2019-10-23,1.287926
2019-10-24,1.288122
2019-10-25,1.283305
2019-10-26,1.28288
2019-10-27,1.28286
2019-10-28,1.284146
2019-10-29,1.28575
2019-10-30,1.287925
2019-10-31,1.293686
2019-11-01,1.294996
2019-11-02,1.29393
2019-11-03,1.29389
2019-11-04,1.291516
2019-11-05,1.288545
2019-11-06,1.287363
2019-11-07,1.283577
2019-11-08,1.280111
2019-11-09,1.27757
2019-11-10,1.27771
2019-11-11,1.283045
2019-11-12,1.284916
2019-11-13,1.28451
2019-11-14,1.285554
2019-11-15,1.288926
2019-11-16,1.290355
2019-11-17,1.290476
2019-11-18,1.294809
2019-11-19,1.294111
2019-11-20,1.291318
2019-11-21,1.29266
2019-11-22,1.28747
2019-11-23,1.2834
2019-11-24,1.283524
2019-11-25,1.287619
2019-11-26,1.287256
2019-11-27,1.287642
2019-11-28,1.292156
2019-11-29,1.291538
2019-11-30,1.29374
2019-12-01,1.293544
2019-12-02,1.292462
2019-12-03,1.297554
2019-12-04,1.305443
2019-12-05,1.313684
2019-12-06,1.314066
2019-12-07,1.313885
2019-12-08,1.313872
2019-12-09,1.315272
2019-12-10,1.316365
2019-12-11,1.315929
2019-12-12,1.320164
2019-12-13,1.339248
2019-12-14,1.33339
2019-12-15,1.33349
2019-12-16,1.3355
2019-12-17,1.319711
2019-12-18,1.309209
2019-12-19,1.306158
2019-12-20,1.302382
2019-12-21,1.3
2019-12-22,1.300014
2019-12-23,1.297184
2019-12-24,1.294601
2019-12-25,1.294548
2019-12-26,1.299012
2019-12-27,1.305475
2019-12-28,1.30856
2019-12-29,1.308581
2019-12-30,1.311707
2019-12-31,1.31858
2020-01-01,1.325978
2020-01-02,1.318874
2020-01-03,1.309772
2020-01-04,1.3079
2020-01-05,1.307881
2020-01-06,1.31289
