Kategoria: Wszystko

Czas,gold price: (Stany Zjednoczone)
2019-12-31T19,39
2019-12-31T20,38
2019-12-31T21,41
2019-12-31T22,41
2019-12-31T23,36
2020-01-01T00,35
2020-01-01T01,30
2020-01-01T02,28
2020-01-01T03,31
2020-01-01T04,28
2020-01-01T05,29
2020-01-01T06,27
2020-01-01T07,29
2020-01-01T08,31
2020-01-01T09,27
2020-01-01T10,39
2020-01-01T11,35
2020-01-01T12,44
2020-01-01T13,47
2020-01-01T14,39
2020-01-01T15,34
2020-01-01T16,36
2020-01-01T17,35
2020-01-01T18,33
2020-01-01T19,31
2020-01-01T20,30
2020-01-01T21,30
2020-01-01T22,31
2020-01-01T23,30
2020-01-02T00,32
2020-01-02T01,30
2020-01-02T02,29
2020-01-02T03,31
2020-01-02T04,34
2020-01-02T05,34
2020-01-02T06,38
2020-01-02T07,39
2020-01-02T08,42
2020-01-02T09,43
2020-01-02T10,47
2020-01-02T11,49
2020-01-02T12,45
2020-01-02T13,46
2020-01-02T14,44
2020-01-02T15,45
2020-01-02T16,52
2020-01-02T17,47
2020-01-02T18,45
2020-01-02T19,41
2020-01-02T20,41
2020-01-02T21,40
2020-01-02T22,42
2020-01-02T23,41
2020-01-03T00,38
2020-01-03T01,37
2020-01-03T02,38
2020-01-03T03,42
2020-01-03T04,45
2020-01-03T05,51
2020-01-03T06,55
2020-01-03T07,56
2020-01-03T08,54
2020-01-03T09,54
2020-01-03T10,64
2020-01-03T11,64
2020-01-03T12,68
2020-01-03T13,78
2020-01-03T14,76
2020-01-03T15,89
2020-01-03T16,90
2020-01-03T17,81
2020-01-03T18,71
2020-01-03T19,74
2020-01-03T20,73
2020-01-03T21,64
2020-01-03T22,64
2020-01-03T23,58
2020-01-04T00,59
2020-01-04T01,53
2020-01-04T02,65
2020-01-04T03,59
2020-01-04T04,68
2020-01-04T05,60
2020-01-04T06,59
2020-01-04T07,63
2020-01-04T08,49
2020-01-04T09,48
2020-01-04T10,50
2020-01-04T11,56
2020-01-04T12,57
2020-01-04T13,52
2020-01-04T14,57
2020-01-04T15,55
2020-01-04T16,53
2020-01-04T17,51
2020-01-04T18,51
2020-01-04T19,47
2020-01-04T20,51
2020-01-04T21,42
2020-01-04T22,40
2020-01-04T23,37
2020-01-05T00,35
2020-01-05T01,34
2020-01-05T02,35
2020-01-05T03,36
2020-01-05T04,37
2020-01-05T05,37
2020-01-05T06,41
2020-01-05T07,44
2020-01-05T08,42
2020-01-05T09,38
2020-01-05T10,47
2020-01-05T11,51
2020-01-05T12,43
2020-01-05T13,40
2020-01-05T14,42
2020-01-05T15,40
2020-01-05T16,44
2020-01-05T17,43
2020-01-05T18,40
2020-01-05T19,40
2020-01-05T20,38
2020-01-05T21,36
2020-01-05T22,36
2020-01-05T23,35
2020-01-06T00,49
2020-01-06T01,48
2020-01-06T02,55
2020-01-06T03,55
2020-01-06T04,57
2020-01-06T05,65
2020-01-06T06,73
2020-01-06T07,74
2020-01-06T08,79
2020-01-06T09,69
2020-01-06T10,92
2020-01-06T11,87
2020-01-06T12,86
2020-01-06T13,87
2020-01-06T14,96
2020-01-06T15,99
2020-01-06T16,100
2020-01-06T17,84
2020-01-06T18,82
2020-01-06T19,78
2020-01-06T20,72
2020-01-06T21,68
2020-01-06T22,73
2020-01-06T23,67
2020-01-07T00,67
2020-01-07T01,63
2020-01-07T02,58
2020-01-07T03,60
2020-01-07T04,58
2020-01-07T05,63
2020-01-07T06,67
2020-01-07T07,74
2020-01-07T08,62
2020-01-07T09,72
2020-01-07T10,73
2020-01-07T11,75
2020-01-07T12,67
2020-01-07T13,71
2020-01-07T14,63
2020-01-07T15,64
2020-01-07T16,65
2020-01-07T17,61
2020-01-07T18,59
