Index,USD.IRR
2019-07-11,42105
2019-07-12,42105
2019-07-13,42105
2019-07-14,42105
2019-07-15,42087.688372
2019-07-16,42105
2019-07-17,42105
2019-07-18,42105
2019-07-19,42105
2019-07-20,42105
2019-07-21,42105
2019-07-22,42105
2019-07-23,42105
2019-07-24,42088.162325
2019-07-25,42105
2019-07-26,42105
2019-07-27,42105
2019-07-28,42105
2019-07-29,42105
2019-07-30,42105
2019-07-31,42105
2019-08-01,42105
2019-08-02,42105
2019-08-03,42105
2019-08-04,42105
2019-08-05,42105
2019-08-06,42105
2019-08-07,42105
2019-08-08,42105
2019-08-09,42105
2019-08-10,42105
2019-08-11,42105
2019-08-12,42105
2019-08-13,42105
2019-08-14,42105
2019-08-15,42105
2019-08-16,42105
2019-08-17,42105
2019-08-18,42105
2019-08-19,42105
2019-08-20,42105
2019-08-21,42105
2019-08-22,42105
2019-08-23,42105
2019-08-24,42105
2019-08-25,42105
2019-08-26,42105
2019-08-27,42105
2019-08-28,42105
2019-08-29,42102.168403
2019-08-30,42105
2019-08-31,42105
2019-09-01,42105
2019-09-02,42105
2019-09-03,42105
2019-09-04,42105
2019-09-05,42105
2019-09-06,42105
2019-09-07,42105
2019-09-08,42105
2019-09-09,42105
2019-09-10,42105
2019-09-11,42105
2019-09-12,42105
2019-09-13,42105
2019-09-14,42105
2019-09-15,42105
2019-09-16,42105
2019-09-17,42105
2019-09-18,42105
2019-09-19,42105
2019-09-20,42105
2019-09-21,42105
2019-09-22,42105
2019-09-23,42105
2019-09-24,42105
2019-09-25,42105
2019-09-26,42105
2019-09-27,42105
2019-09-28,42105
2019-09-29,42105
2019-09-30,42105
2019-10-01,42105
2019-10-02,42105
2019-10-03,42105
2019-10-04,42105
2019-10-05,42105
2019-10-06,42105
2019-10-07,42105
2019-10-08,42105
2019-10-09,42105
2019-10-10,42105
2019-10-11,42105
2019-10-12,42105
2019-10-13,42105
2019-10-14,42105
2019-10-15,42105
2019-10-16,42105
2019-10-17,42105
2019-10-18,42105
2019-10-19,42105
2019-10-20,42105
2019-10-21,42105
2019-10-22,42105
2019-10-23,42105
2019-10-24,42105
2019-10-25,42105
2019-10-26,42105
2019-10-27,42105
2019-10-28,42105
2019-10-29,42105
2019-10-30,42105
2019-10-31,42105
2019-11-01,42105
2019-11-02,42105
2019-11-03,42105
2019-11-04,42105
2019-11-05,42105
2019-11-06,42105
2019-11-07,42105
2019-11-08,42105
2019-11-09,42105
2019-11-10,42105
2019-11-11,42105
2019-11-12,42105
2019-11-13,42105
2019-11-14,42105
2019-11-15,42105
2019-11-16,42105
2019-11-17,42105
2019-11-18,42105
2019-11-19,42105
2019-11-20,42105
2019-11-21,42105
2019-11-22,42105
2019-11-23,42105
2019-11-24,42105
2019-11-25,42105
2019-11-26,42105
2019-11-27,42105
2019-11-28,42105
2019-11-29,42105
2019-11-30,42105
2019-12-01,42105
2019-12-02,42105
2019-12-03,42105
2019-12-04,42105
2019-12-05,42105
2019-12-06,42105
2019-12-07,42105
2019-12-08,42105
2019-12-09,42105
2019-12-10,42105
2019-12-11,42105
2019-12-12,42105
2019-12-13,42105
2019-12-14,42105
2019-12-15,42105
2019-12-16,42105
2019-12-17,42105
2019-12-18,42105
2019-12-19,42105
2019-12-20,42105
2019-12-21,42105
2019-12-22,42105
2019-12-23,42105
2019-12-24,42105
2019-12-25,42105
2019-12-26,42105
2019-12-27,42105
2019-12-28,42105
2019-12-29,42105
2019-12-30,42105
2019-12-31,42105
2020-01-01,42105
2020-01-02,42105
2020-01-03,42105
2020-01-04,42105
2020-01-05,42105
2020-01-06,42104.771123
